CIK,FILINGMANAGER_NAME,PERIODOFREPORT,FILING_DATE,SUBMISSIONTYPE,ISAMENDMENT,TABLEVALUETOTAL,TABLEENTRYTOTAL,ISCONFIDENTIALOMITTED,NAMEOFISSUER,CUSIP,TITLEOFCLASS,VALUE,SSHPRNAMT,SSHPRNAMTTYPE,INVESTMENTDISCRETION,weight
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",31/3/2010,27/6/2013,13F-HR,,225586000,85,N,PEPSICO INC,713448108,COM,1318000,19917,SH,SOLE,0.005842561
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",31/3/2010,27/6/2013,13F-HR,,225586000,85,N,PRAXAIR INC,74005P104,COM,1271000,15314,SH,SOLE,0.005634215
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",31/3/2010,27/6/2013,13F-HR,,225586000,85,N,PRICE T ROWE GROUP INC,74144T108,COM,1680000,30559,SH,SOLE,0.007447271
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",31/3/2010,27/6/2013,13F-HR,,225586000,85,N,PROCTER & GAMBLE,742718109,COM,10039000,158666,SH,SOLE,0.044501875
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",31/3/2010,27/6/2013,13F-HR,,225586000,85,N,PROGRESS ENERGY INC,743263105,COM,443000,11245,SH,SOLE,0.001963774
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",31/3/2010,27/6/2013,13F-HR,,225586000,85,N,REALTY INCOME CORP,756109104,COM,8527000,277849,SH,SOLE,0.037799332
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",31/3/2010,27/6/2013,13F-HR,,225586000,85,N,ROYAL BANK OF CANADA,780087102,COM,5742000,98410,SH,SOLE,0.025453707
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",31/3/2010,27/6/2013,13F-HR,,225586000,85,N,ROYAL DUTCH SHELL PLC-ADR A,780259206,COM,5926000,102420,SH,SOLE,0.026269361
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",31/3/2010,27/6/2013,13F-HR,,225586000,85,N,S&P DIVIDEND ARISTOCRATS,78464A763,COM,203000,4115,SH,SOLE,0.000899879
1487438,"DONALDSON CAPITAL MANAGEMENT, LLC",31/3/2010,27/6/2013,13F-HR,,225586000,85,N,SIMON PROPERTY GRP,828806109,COM,441000,5251,SH,SOLE,0.001954909
